"9","I May Be Spoken 4 But I Speak 4 Myself.","1","65772","173","1"
"10","I'm having trouble with my computer..send a message!","1","47628","163","1"
"11","I love to make new friends","1","38556","152","1"
"12","can you handle it?","1","45360","157","1"
"13","Not sure what I want yet","1","54432","168","1"
"15","Can You Read My Mind?","1","58968","173","1"
"16","looking good;feeling great.....now let's communicate","1","90720","183","1"
"17","A vaincre sans péril, on triomphe sans gloire","1","49896","173","1"
"18","I love to make new friends","1","43092","163","1"
"19","Are you man enough for my appetite","2","49896","165","1"
"20","Let's start as friends..","1","58968","163","0"
"21","Be Gentle! I'm new at this.","4","65772","165","1"
"22","Let's Have Coffee and....?","1","54432","163","1"
"23","Discretion a must!","8","52164","163","1"
"24","Let's meet in Vegas!","1","81648","188","1"
"26","El arte es una mentira que nos acerca a la verdad.","2","56700","178","1"
"27","No Disrespect please - just honesty","3","43092","157","0"
"28","Any One For Phone Chat?","7","47628","152","1"
"29","Catch My Interest If U Can...","1","49896","165","1"
"30","No Games Please.","1","61236","173","1"
"31","I'd love to meet a caucasion man for...","6","54432","165","1"
"32","I need to be satisfied","1","52164","163","1"
"33","I am looking for you","1","54432","168","1"
"36","Dinner for two; and then...","1","79380","178","1"
"37","mature and fun looking for younger!!","1","77112","173","0"
"38","swimy ladies please step foward","1","83916","178","1"
"39","Any Suggestions to get my interest?","1","58968","173","1"
"40","This is very exciting","4","47628","152","1"
"41","""Looking for some fun!""","1","56700","173","1"
"42","Searching?","1","74844","178","1"
"43","Looking for realistic men","1","58968","165","1"
"44","Looking for erotic swim & Romance","1","68040","165","1"
"45","Thick Chocolate Tai.....","2","81648","165","1"
"46","Hot Blonde's Lust is insatiable","1","63504","173","0"
"47","Lolita for Mature Teddy Bears","9","70308","157","0"
"48","Adding Some Spice","1","54432","173","0"
"49","can you take me to a hotspot?","1","45360","168","1"
"50","I dare you.","1","56700","168","0"
"51","Nada hay más surreal que la realidad.","2","72576","168","1"
"53","No hold bared","8","77112","178","1"
"54","Easygoing&Openminded","1","97524","193","1"
"55","Hello","1","63504","168","1"
"56","Sólo un idiota puede ser totalmente feliz.","1","74844","178","1"
"57","I'm up to no good","1","79380","173","1"
"58","hello; trying this for the 1st time","1","68040","173","1"
"59","Il faut casser le noyau pour avoir l’amande","6","49896","157","1"
